package_id,utterance_id,status,review_priority,original,normalised,translations,cluster_id,cluster_label,category,standing,support,glosses,concept_candidates,no_match_votes,risk_flags,reviewer_id,reviewer_role,blind_translation,blind_interpretation,translation_decision,final_translation,interpretation_decision,clinical_status,context_confirmed,concept_decision,concept_id,predicate_id,negative_assertion,confidence,justification
MRP-PILOT-P01-pilot-dryrun,PILOT-P01,awaiting_review,high,"Tangu msiba ule, roho yangu imeondoka.","Tangu msiba ule, roho yangu imeondoka.","T1: Since that death, I feel as if my spirit has left me. | T2: Since that funeral I have felt empty inside. | T3: Since that loss, my heart has gone out of me.",C1,inner emptiness,emotional_state,majority,2/3,A feeling of inner emptiness or numbness after the loss. || Feeling empty inside since the funeral.,"SCTID:LOOKUP-feeling-empty <lookup: feeling empty> [skos:broadMatch,skos:exactMatch]",sim-model-A,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,possible_semantic_gap,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P01-pilot-dryrun,PILOT-P01,awaiting_review,high,"Tangu msiba ule, roho yangu imeondoka.","Tangu msiba ule, roho yangu imeondoka.","T1: Since that death, I feel as if my spirit has left me. | T2: Since that funeral I have felt empty inside. | T3: Since that loss, my heart has gone out of me.",C2,grief,emotional_state,majority,2/3,Grief following a death. || Grief reaction to a bereavement.,"SCTID:LOOKUP-grief <lookup: grief> [skos:broadMatch,skos:exactMatch] ; SCTID:LOOKUP-bereavement-finding <lookup: bereavement finding> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-grief-related-emotion <lookup: grief-related emotion> [skos:broadMatch,skos:exactMatch]",sim-model-A,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,possible_semantic_gap,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P01-pilot-dryrun,PILOT-P01,awaiting_review,high,"Tangu msiba ule, roho yangu imeondoka.","Tangu msiba ule, roho yangu imeondoka.","T1: Since that death, I feel as if my spirit has left me. | T2: Since that funeral I have felt empty inside. | T3: Since that loss, my heart has gone out of me.",C3,spiritual loss,spiritual_or_supernatural,minority,1/3,"A felt loss of one's spirit or spiritual connection, possibly tied to the dead person.",SCTID:LOOKUP-spiritual-concern <lookup: spiritual concern> [skos:exactMatch],"sim-model-A,sim-model-B","back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,possible_semantic_gap,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P01-pilot-dryrun,PILOT-P01,awaiting_review,high,"Tangu msiba ule, roho yangu imeondoka.","Tangu msiba ule, roho yangu imeondoka.","T1: Since that death, I feel as if my spirit has left me. | T2: Since that funeral I have felt empty inside. | T3: Since that loss, my heart has gone out of me.",C4,loss of vitality,somatic_experience,minority,1/3,Loss of life-energy or will: feeling that one's life-force has gone.,"SCTID:LOOKUP-lack-of-energy <lookup: lack of energy> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,possible_semantic_gap,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P01-pilot-dryrun,PILOT-P01,awaiting_review,high,"Tangu msiba ule, roho yangu imeondoka.","Tangu msiba ule, roho yangu imeondoka.","T1: Since that death, I feel as if my spirit has left me. | T2: Since that funeral I have felt empty inside. | T3: Since that loss, my heart has gone out of me.",C5,fright,emotional_state,minority,1/3,Having been badly shaken or frightened.,"SCTID:LOOKUP-fear <lookup: fear> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-fear <lookup: fear> [skos:broadMatch,skos:exactMatch]",sim-model-A,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,possible_semantic_gap,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P02-pilot-dryrun,PILOT-P02,awaiting_review,high,Moyo wangu ni mzito kila asubuhi.,Moyo wangu ni mzito kila asubuhi.,T1: Every morning my heart feels heavy. | T2: Every morning I feel heavy-hearted. | T3: My heart is heavy every morning.,C1,sadness,emotional_state,unanimous,3/3,"Sadness or sorrow, felt as heaviness of the heart. || Low, sorrowful mood. || Sad mood.","SCTID:LOOKUP-feeling-sad <lookup: feeling sad> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-sadness <lookup: sadness> [skos:broadMatch,skos:exactMatch]",sim-model-A,"minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P02-pilot-dryrun,PILOT-P02,awaiting_review,high,Moyo wangu ni mzito kila asubuhi.,Moyo wangu ni mzito kila asubuhi.,T1: Every morning my heart feels heavy. | T2: Every morning I feel heavy-hearted. | T3: My heart is heavy every morning.,C2,morning reluctance,emotional_state,minority,1/3,Dread or reluctance on waking to face the day.,(none retrieved),"sim-model-A,sim-model-B,sim-model-C","minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P02-pilot-dryrun,PILOT-P02,awaiting_review,high,Moyo wangu ni mzito kila asubuhi.,Moyo wangu ni mzito kila asubuhi.,T1: Every morning my heart feels heavy. | T2: Every morning I feel heavy-hearted. | T3: My heart is heavy every morning.,C3,chest heaviness,clinical_symptom,minority,1/3,A physical sensation of heaviness in the chest.,"SCTID:LOOKUP-chest-heaviness <lookup: chest heaviness> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P03-pilot-dryrun,PILOT-P03,awaiting_review,high,"Nina mawazo mengi, siwezi kufanya kazi.","Nina mawazo mengi, siwezi kufanya kazi.","T1: I am thinking too much; I can't work. | T2: I have a lot on my mind, I can't work. | T3: I am worrying a lot and cannot work.",C1,thinking too much,cognitive_process,majority,2/3,"The 'thinking too much' idiom of distress: persistent troubling thoughts, often about life problems. || Thinking too much about one's problems.","SCTID:LOOKUP-worrying <lookup: worrying> [skos:broadMatch,skos:exactMatch] ; SCTID:LOOKUP-rumination <lookup: rumination> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P03-pilot-dryrun,PILOT-P03,awaiting_review,high,"Nina mawazo mengi, siwezi kufanya kazi.","Nina mawazo mengi, siwezi kufanya kazi.","T1: I am thinking too much; I can't work. | T2: I have a lot on my mind, I can't work. | T3: I am worrying a lot and cannot work.",C2,worry,emotional_state,majority,2/3,Worry about problems. || Excessive worry.,"SCTID:LOOKUP-worrying <lookup: worrying> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-anxiety <lookup: anxiety> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
